feed_quality_score,animal_age_years,temperature_c,lactation_month,milk_yield_litres
4.4,5.5,35.6,10,13.95
3.8,9.4,32.1,1,13.88
5.6,8.7,24.7,4,15.63
2.9,11.4,36.8,1,18.64
9.1,6.0,21.6,10,13.91
3.1,10.9,29.4,4,16.58
8.4,7.5,24.6,4,12.88
5.6,7.3,18.0,2,11.43
9.6,7.6,41.2,10,19.03
7.1,8.1,16.5,3,13.01
6.3,6.9,34.9,2,17.91
8.1,5.7,19.6,10,12.39
8.6,3.8,22.0,4,14.34
6.5,8.7,30.9,7,14.88
4.1,6.8,15.1,7,8.8
9.3,2.3,23.0,9,14.08
7.6,10.3,20.0,3,13.87
6.7,2.8,41.8,2,15.48
3.6,7.2,40.3,10,14.53
2.6,5.3,36.3,3,11.57
5.6,11.1,30.9,7,11.06
6.8,2.5,23.4,3,8.97
5.1,11.1,35.6,10,16.48
3.8,8.8,34.6,9,13.87
3.9,6.3,36.7,4,15.21
